id_contrato,entidad,valor_contrato,objeto,estado,fecha_inicio,fecha_fin
CON-000042,Gobernación de Cundinamarca,307915243,Servicios,Vigente,2025-09-22,2027-03-18
CON-000043,SENA,401215008,Suministro,En Liquidación,2025-05-15,2026-06-17
CON-000044,Gobernación de Cundinamarca,289796574,Consultoría,Terminado,2025-08-16,2026-09-28
CON-000045,Gobernación de Cundinamarca,184373229,Suministro,Terminado,2025-07-12,2027-02-22
CON-000046,Gobernación de Cundinamarca,426037276,Obra,Terminado,2025-12-03,2027-02-18
CON-000047,SENA,278481251,Obra,Terminado,2025-06-14,2027-01-22
CON-000048,SENA,487740807,Consultoría,Vigente,2026-03-29,2027-02-12
CON-000049,SENA,127466619,Obra,Terminado,2026-02-21,2026-08-18
CON-000050,Alcaldía de Bogotá,241590320,Obra,Terminado,2026-02-02,2026-12-10
CON-000051,SENA,14093933,Consultoría,Vigente,2026-03-12,2026-12-28
CON-000052,Ministerio de Defensa,156239923,Suministro,En Liquidación,2025-09-17,2027-03-27
CON-000053,SENA,93344122,Obra,Vigente,2026-02-20,2026-10-29
CON-000054,Gobernación de Cundinamarca,346527697,Suministro,Terminado,2025-12-26,2026-12-16
CON-000055,Ministerio de Defensa,317071828,Obra,Vigente,2025-06-13,2027-01-16
CON-000056,SENA,488923463,Obra,Terminado,2026-01-17,2027-04-20
CON-000057,Alcaldía de Bogotá,480769359,Obra,Vigente,2025-11-19,2027-03-17
CON-000058,Alcaldía de Bogotá,217105646,Consultoría,Terminado,2025-10-31,2026-10-25
CON-000059,SENA,312309593,Suministro,Terminado,2025-10-18,2027-04-21
CON-000060,Alcaldía de Bogotá,30581358,Obra,Terminado,2025-12-15,2026-11-03
CON-000061,Gobernación de Cundinamarca,399729466,Obra,En Liquidación,2025-10-05,2026-11-14
CON-000062,Gobernación de Cundinamarca,321033004,Servicios,Terminado,2025-11-18,2026-08-29
CON-000063,Gobernación de Cundinamarca,245050870,Obra,Terminado,2026-04-03,2027-02-13
CON-000064,SENA,84961111,Consultoría,Terminado,2025-08-17,2026-08-31
CON-000065,Ministerio de Defensa,240815755,Servicios,Vigente,2025-12-19,2027-01-05
CON-000066,SENA,85160924,Obra,En Liquidación,2025-12-23,2027-04-02
CON-000067,Ministerio de Defensa,474618363,Consultoría,Terminado,2025-06-27,2026-07-07
CON-000068,Ministerio de Defensa,260605589,Obra,Vigente,2025-06-08,2027-03-03
CON-000069,Alcaldía de Bogotá,284339350,Consultoría,Terminado,2026-03-04,2026-08-23
CON-000070,Gobernación de Cundinamarca,472899571,Suministro,En Liquidación,2026-04-07,2026-10-14
CON-000071,Ministerio de Defensa,468808581,Servicios,Terminado,2025-06-22,2027-04-16
CON-000072,SENA,492843330,Servicios,En Liquidación,2025-05-14,2026-11-06
CON-000073,Gobernación de Cundinamarca,177411282,Suministro,Vigente,2025-05-25,2026-10-14
CON-000074,Gobernación de Cundinamarca,107619915,Suministro,En Liquidación,2025-11-24,2026-12-27
CON-000075,Ministerio de Defensa,386040058,Obra,En Liquidación,2025-09-28,2026-08-02
CON-000076,Gobernación de Cundinamarca,499494048,Servicios,En Liquidación,2025-07-18,2026-07-06
CON-000077,Gobernación de Cundinamarca,284250279,Consultoría,Vigente,2025-12-22,2026-12-15
CON-000078,SENA,386131028,Servicios,Vigente,2025-07-19,2026-10-22
CON-000079,Gobernación de Cundinamarca,7985369,Suministro,Vigente,2026-04-06,2026-08-31
CON-000080,Ministerio de Defensa,478096562,Suministro,En Liquidación,2025-08-27,2026-11-25
CON-000081,Ministerio de Defensa,282760772,Consultoría,En Liquidación,2025-11-20,2026-11-05
CON-000082,Ministerio de Defensa,12559288,Obra,Terminado,2025-05-29,2027-04-15
CON-000083,Alcaldía de Bogotá,393999544,Obra,Vigente,2025-08-20,2027-03-01
CON-000084,Alcaldía de Bogotá,256884802,Consultoría,En Liquidación,2025-10-14,2026-09-08
CON-000085,SENA,423949587,Servicios,Terminado,2026-03-22,2027-02-01
CON-000086,Ministerio de Defensa,409268752,Servicios,Vigente,2026-02-07,2027-01-02
CON-000087,Ministerio de Defensa,270729919,Obra,En Liquidación,2025-07-23,2027-02-05
CON-000088,Gobernación de Cundinamarca,338061531,Consultoría,En Liquidación,2025-07-28,2026-12-18
CON-000089,SENA,200224952,Suministro,Vigente,2025-12-30,2026-10-09
CON-000090,SENA,497202257,Suministro,Terminado,2025-05-10,2027-02-11
CON-000091,SENA,124661220,Obra,Vigente,2025-11-14,2026-07-13
CON-000092,SENA,343881109,Suministro,En Liquidación,2025-10-07,2026-08-08
CON-000093,Ministerio de Defensa,444693280,Suministro,Terminado,2026-03-19,2027-03-30
CON-000094,Alcaldía de Bogotá,413409426,Consultoría,Terminado,2025-07-01,2026-12-02
CON-000095,Gobernación de Cundinamarca,24430384,Servicios,En Liquidación,2025-12-09,2027-03-07
CON-000096,Gobernación de Cundinamarca,182864194,Consultoría,En Liquidación,2025-07-22,2026-08-30
CON-000097,Alcaldía de Bogotá,72521093,Obra,Vigente,2025-11-04,2026-07-03
CON-000098,SENA,168395516,Consultoría,En Liquidación,2025-09-05,2027-04-22
CON-000099,Ministerio de Defensa,192414150,Consultoría,En Liquidación,2025-10-21,2026-07-18
CON-000100,Gobernación de Cundinamarca,178074531,Suministro,En Liquidación,2025-06-01,2026-06-14
